etid,country,fine,controller_processor,article,violation_type,sector,summary,decision_date_imputed,decision_year,fine_cat,fine_cat2,mapping_key,country_label,violation_type_label,sector_label
ETid-986,GREECE,30000.0,Info Communication Services,"Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006",Insufficient fulfilment of information obligations,Industry and Commerce,"The Hellenic DPA has imposed a fine of EUR 30,000 on INFO COMMUNICATION SERVICES. The controller had conducted advertising calls without the consent of the data subjects. In addition, it did not properly inform the data subjects about the processing of their personal data, thereby violating its information obligations.",No,2021,30000.0,6.0,GREECE-2021,11,4,5
ETid-985,GREECE,25000.0,Plus Real Advertisement,"Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006",Insufficient fulfilment of information obligations,Industry and Commerce,"The Hellenic DPA has imposed a fine of EUR 25,000 on PLUS REAL ADVERTISEMENT. The controller had conducted advertising calls without the consent of the data subjects. In addition, it did not properly inform the data subjects about the processing of their personal data, thereby violating its information obligations.",No,2021,25000.0,6.0,GREECE-2021,11,4,5
ETid-984,POLAND,10000.0,Warsaw University Of Technology,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,Public Sector and Education,"The Polish DPA (UODO) has fined Warsaw University of Technology EUR 10,000. The university had reported a data breach to the authority pursuant to Art. 33 GDPR. One of the university's organizational units used an application created by university staff to register for courses and access teaching history, assessment of exam results and billing of fees. In early January 2020, an unauthorized person had downloaded a database from the application that contained personal data of students and faculty (over 5,000 individuals). In its investigation, the DPA found that the Unvierstät had failed to implement appropriate technical and organizational measures that ensured the security of personal data . The DPA also found that the university had not conducted a formal risk assessment.",No,2021,10000.0,4.0,POLAND-2021,23,7,7
ETid-977,ROMANIA,6000.0,Telekom Romania Communications Sa,"Art. 5 (1) d), f) GDPR, Art. 5 (2) GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,"Media, Telecoms and Broadcasting","The Romanian DPA (ANSPDCP) imposed a fine of EUR 6,000 on Telekom Romania Communications SA. 
A data subject had complained that the controller had sent invoices and messages to his email address informing him of another person's payment arrears.
During the investigation, the DPA found that the controller had collected and processed certain personal data in error, resulting in the unlawful disclosure of the personal data.
At the same time, the DPA found that the controller had not taken the necessary measures to comply with the data subject's request for deletion of his personal data. The fine is composed proportionally EUR 5,000 for a breach of Art. 5 (1) d), f) GDPR, Art. 5 (2) GDPR and EUR 1,000 for a breach of Art. 17 GDPR.",No,2021,6000.0,4.0,ROMANIA-2021,25,8,6
ETid-976,ITALY,150000.0,Tim S.P.A.,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,"Media, Telecoms and Broadcasting","The Italian DPA (Garante) has fined mobile operator TIM S.p.A. EUR 150,000 for denying a data subject access to his phone data needed to defend himself in a criminal case. Since the data subject received no response to his repeated requests to the company, he turned to the DPA to obtain the data in time for the hearing in the criminal proceedings.",No,2021,150000.0,8.0,ITALY-2021,16,3,6
ETid-975,ITALY,30000.0,Ica S.R.L.,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,Industry and Commerce,"The Italian DPA (Garante) has fined ICA s.r.l. EUR 30,000. The municipality of Collegno had implemented a system developed by ICA through which citizens could pay fines for traffic violations. However, due to a lack of security precautions, it was theoretically possible for unauthorized persons to access personal data stored via the program. For this reason, the DPA found that ICA had failed to implement appropriate technical and organizational measures providing a level of security commensurate with the risk posed to the data subject.",No,2021,30000.0,6.0,ITALY-2021,16,7,5
ETid-974,NORWAY,20000.0,Elektro & Automasjon Systemer As,Art. 6 (1) f) GDPR,Insufficient legal basis for data processing,Industry and Commerce,"The Norwegian DPA (Datatilsynet) fined Elektro &amp; Automasjon Systemer AS EUR 20,000. The controller had carried out a credit check on an individual, although there was no legal basis for doing so.",No,2021,20000.0,5.0,NORWAY-2021,22,6,5
ETid-973,SPAIN,2000.0,Call Shop Manager,Art. 13 GDPR,Insufficient fulfilment of information obligations,Industry and Commerce,"The Spanish DPA has imposed a fine of EUR 2,000 on the manager of a call shop. In the context of a job vacancy, the manager had set up a stand where applicants could submit their application documents for a fee of one euro. In this context, the manager did not properly inform the data subjects about the processing of their personal data as required by Art. 13 GDPR.",No,2021,2000.0,1.0,SPAIN-2021,27,4,5
ETid-972,FRANCE,300000.0,Free Mobile,"Art. 12 GDPR, Art. 15 GDPR, Art. 21 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient fulfilment of data subjects rights,"Media, Telecoms and Broadcasting","The French DPA (CNIL) has imposed a fine of EUR 300,000 on FREEE MOBILE. 

The CNIL had received numerous complaints regarding the company's failure to comply with data subjects' rights. 

During its investigation, the CNIL found that the company had failed to respond to data subjects' requests in a timely manner. In addition, the company failed to comply with the data subjects' right to object, as it continued to send advertisements to the data subjects despite them having exercised their right to object. 
In addition, the CNIL found that the company had failed to implement adequate technical and organizational measures to ensure a level of security appropriate to the risk to the data subjects. For example, it had sent users passwords by email in clear text.",No,2021,300000.0,9.0,FRANCE-2021,9,3,6
ETid-971,FRANCE,180000.0,Slimpay,"Art. 28 GDPR, Art. 32 GDPR, Art. 34 GDPR",Insufficient technical and organisational measures to ensure information security,"Finance, Insurance and Consulting","The French DPA (CNIL) has imposed a fine of EUR 180,000 on the payment institution SLIMPAY. 
In 2015, SLIMPAY conducted an internal research project in which it processed personal data in its databases. When the research project ended in July 2016, the data remained stored on a server, without any security measures and freely accessible on the Internet. The data breach affected about 12 million people.

During its investigation, the CNIL found that the company had failed to implement appropriate technical and organizational measures to ensure a level of security commensurate with the risk to data subjects. Thus, the server access was not subject to any security measures, so that it was possible to access it via the Internet between November 2015 and February 2020

In addition, the DPA found that the company had failed to inform the data subjects about the data breach. 

The CNIL also found that in several cases, contracts the company had concluded with processors were inadequately drafted, as they did not include certain envisaged clauses obliging the processors to process personal data in accordance with the requirements of the GDPR.",No,2021,180000.0,8.0,FRANCE-2021,9,7,2
